Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
11/09/2022,01/01/2020,11/05/2022,AL,Marion County,6,1,93,1093,Distribution of all-cause deaths (%),1129,120,0.955,0.039,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Marion County,6,1,93,1093,Distribution of COVID-19 deaths (%),1129,120,0.933,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Marion County,6,1,93,1093,Distribution of population (%),1129,120,0.917,0.038,0.004,0.003,0,0.026,0.012,Noncore,
11/09/2022,01/01/2020,11/05/2022,AL,Marshall County,5,1,95,1095,Distribution of all-cause deaths (%),3794,387,0.951,0.017,,,,0.027,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Marshall County,5,1,95,1095,Distribution of COVID-19 deaths (%),3794,387,0.899,,,,,0.088,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Marshall County,5,1,95,1095,Distribution of population (%),3794,387,0.796,0.026,0.006,0.007,0.001,0.15,0.015,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Mobile County,3,1,97,1097,Distribution of all-cause deaths (%),16825,1948,0.642,0.333,0.007,0.006,,0.008,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Mobile County,3,1,97,1097,Distribution of COVID-19 deaths (%),16825,1948,0.586,0.38,0.009,0.011,,0.011,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Mobile County,3,1,97,1097,Distribution of population (%),16825,1948,0.563,0.362,0.009,0.021,0,0.03,0.016,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,Montgomery County,3,1,101,1101,Distribution of all-cause deaths (%),9732,1516,0.47,0.511,,0.006,,0.009,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Montgomery County,3,1,101,1101,Distribution of COVID-19 deaths (%),9732,1516,0.436,0.543,,,,0.015,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Montgomery County,3,1,101,1101,Distribution of population (%),9732,1516,0.319,0.595,0.002,0.033,0,0.037,0.013,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,Morgan County,4,1,103,1103,Distribution of all-cause deaths (%),4208,454,0.866,0.111,,,,0.019,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Morgan County,4,1,103,1103,Distribution of COVID-19 deaths (%),4208,454,0.804,0.145,,,,0.046,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Morgan County,4,1,103,1103,Distribution of population (%),4208,454,0.749,0.127,0.008,0.006,0.001,0.087,0.021,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Pike County,5,1,109,1109,Distribution of all-cause deaths (%),922,109,0.684,0.308,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Pike County,5,1,109,1109,Distribution of COVID-19 deaths (%),922,109,0.661,0.339,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Pike County,5,1,109,1109,Distribution of population (%),922,109,0.557,0.378,0.006,0.018,0,0.024,0.017,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Russell County,3,1,113,1113,Distribution of all-cause deaths (%),1225,109,0.642,0.336,,,,0.015,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Russell County,3,1,113,1113,Distribution of COVID-19 deaths (%),1225,109,0.67,0.303,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Russell County,3,1,113,1113,Distribution of population (%),1225,109,0.454,0.449,0.005,0.008,0.003,0.059,0.023,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,St. Clair County,2,1,115,1115,Distribution of all-cause deaths (%),2455,184,0.912,0.08,,,,0.004,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,St. Clair County,2,1,115,1115,Distribution of COVID-19 deaths (%),2455,184,0.924,0.06,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,St. Clair County,2,1,115,1115,Distribution of population (%),2455,184,0.849,0.097,0.003,0.009,0.001,0.025,0.015,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,AL,Shelby County,2,1,117,1117,Distribution of all-cause deaths (%),4263,314,0.863,0.116,,0.007,,0.012,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Shelby County,2,1,117,1117,Distribution of COVID-19 deaths (%),4263,314,0.806,0.146,,,,0.035,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Shelby County,2,1,117,1117,Distribution of population (%),4263,314,0.767,0.135,0.003,0.023,0,0.058,0.014,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,AL,Talladega County,5,1,121,1121,Distribution of all-cause deaths (%),2717,286,0.731,0.262,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Talladega County,5,1,121,1121,Distribution of COVID-19 deaths (%),2717,286,0.689,0.297,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Talladega County,5,1,121,1121,Distribution of population (%),2717,286,0.621,0.329,0.003,0.006,0,0.025,0.017,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Tallapoosa County,6,1,123,1123,Distribution of all-cause deaths (%),1695,175,0.785,0.209,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Tallapoosa County,6,1,123,1123,Distribution of COVID-19 deaths (%),1695,175,0.754,0.246,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Tallapoosa County,6,1,123,1123,Distribution of population (%),1695,175,0.686,0.267,0.004,0.006,0,0.025,0.012,Noncore,
11/09/2022,01/01/2020,11/05/2022,AL,Tuscaloosa County,4,1,125,1125,Distribution of all-cause deaths (%),7195,1048,0.648,0.336,,0.004,,0.01,0.002,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Tuscaloosa County,4,1,125,1125,Distribution of COVID-19 deaths (%),7195,1048,0.592,0.385,,,,0.016,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Tuscaloosa County,4,1,125,1125,Distribution of population (%),7195,1048,0.603,0.325,0.002,0.016,0,0.04,0.013,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Walker County,2,1,127,1127,Distribution of all-cause deaths (%),3015,356,0.94,0.053,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Walker County,2,1,127,1127,Distribution of COVID-19 deaths (%),3015,356,0.938,0.053,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Walker County,2,1,127,1127,Distribution of population (%),3015,356,0.886,0.06,0.004,0.005,0,0.028,0.016,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,AR,Baxter County,5,5,5,5005,Distribution of all-cause deaths (%),2858,367,0.988,,,,,0.005,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Baxter County,5,5,5,5005,Distribution of COVID-19 deaths (%),2858,367,0.992,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Baxter County,5,5,5,5005,Distribution of population (%),2858,367,0.943,0.005,0.007,0.005,0.001,0.026,0.014,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AR,Benton County,3,5,7,5007,Distribution of all-cause deaths (%),6368,1005,0.916,0.009,0.01,0.008,0.008,0.045,0.004,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AR,Benton County,3,5,7,5007,Distribution of COVID-19 deaths (%),6368,1005,0.849,,0.01,,0.03,0.089,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Benton County,3,5,7,5007,Distribution of population (%),6368,1005,0.719,0.019,0.014,0.045,0.007,0.173,0.024,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AR,Boone County,5,5,9,5009,Distribution of all-cause deaths (%),1394,155,0.978,,,,,0.011,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Boone County,5,5,9,5009,Distribution of COVID-19 deaths (%),1394,155,0.955,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Boone County,5,5,9,5009,Distribution of population (%),1394,155,0.935,0.005,0.008,0.006,0.001,0.027,0.018,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AR,Craighead County,4,5,31,5031,Distribution of all-cause deaths (%),6807,1088,0.869,0.118,,0.003,,0.008,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Craighead County,4,5,31,5031,Distribution of COVID-19 deaths (%),6807,1088,0.818,0.165,,,,0.013,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AR,Craighead County,4,5,31,5031,Distribution of population (%),6807,1088,0.743,0.169,0.003,0.013,0,0.053,0.018,Small metro,
